bcp_number,rfc_number,title,status,format,file_path,downloaded
,9743,Specifying New Congestion Control Algorithms,Best Current Practice,html,rfcs\html\rfc9743.html,Yes
,9743,Specifying New Congestion Control Algorithms,Best Current Practice,txt,rfcs\txt\rfc9743.txt,Yes
,9743,Specifying New Congestion Control Algorithms,Best Current Practice,pdf,rfcs\pdf\rfc9743.pdf,Yes
,9743,Specifying New Congestion Control Algorithms,Best Current Practice,xml,rfcs\xml\rfc9743.xml,Yes
,9712,IETF Meeting Venue Requirements Review,Best Current Practice,html,rfcs\html\rfc9712.html,Yes
,9712,IETF Meeting Venue Requirements Review,Best Current Practice,txt,rfcs\txt\rfc9712.txt,Yes
,9712,IETF Meeting Venue Requirements Review,Best Current Practice,pdf,rfcs\pdf\rfc9712.pdf,Yes
,9712,IETF Meeting Venue Requirements Review,Best Current Practice,xml,rfcs\xml\rfc9712.xml,Yes
,9700,Best Current Practice for OAuth 2.0 Security,Best Current Practice,html,rfcs\html\rfc9700.html,Yes
,9700,Best Current Practice for OAuth 2.0 Security,Best Current Practice,txt,rfcs\txt\rfc9700.txt,Yes
,9700,Best Current Practice for OAuth 2.0 Security,Best Current Practice,pdf,rfcs\pdf\rfc9700.pdf,Yes
,9700,Best Current Practice for OAuth 2.0 Security,Best Current Practice,xml,rfcs\xml\rfc9700.xml,Yes
,9694,Guidelines for the Definition of New Top-Level Media Types,Best Current Practice,html,rfcs\html\rfc9694.html,Yes
,9694,Guidelines for the Definition of New Top-Level Media Types,Best Current Practice,txt,rfcs\txt\rfc9694.txt,Yes
,9694,Guidelines for the Definition of New Top-Level Media Types,Best Current Practice,pdf,rfcs\pdf\rfc9694.pdf,Yes
,9694,Guidelines for the Definition of New Top-Level Media Types,Best Current Practice,xml,rfcs\xml\rfc9694.xml,Yes
,9609,Initializing a DNS Resolver with Priming Queries,Best Current Practice,html,rfcs\html\rfc9609.html,Yes
,9609,Initializing a DNS Resolver with Priming Queries,Best Current Practice,txt,rfcs\txt\rfc9609.txt,Yes
,9609,Initializing a DNS Resolver with Priming Queries,Best Current Practice,pdf,rfcs\pdf\rfc9609.pdf,Yes
,9609,Initializing a DNS Resolver with Priming Queries,Best Current Practice,xml,rfcs\xml\rfc9609.xml,Yes
,9599,Guidelines for Adding Congestion Notification to Protocols that Encapsulate IP,Best Current Practice,html,rfcs\html\rfc9599.html,Yes
,9599,Guidelines for Adding Congestion Notification to Protocols that Encapsulate IP,Best Current Practice,txt,rfcs\txt\rfc9599.txt,Yes
,9599,Guidelines for Adding Congestion Notification to Protocols that Encapsulate IP,Best Current Practice,pdf,rfcs\pdf\rfc9599.pdf,Yes
,9599,Guidelines for Adding Congestion Notification to Protocols that Encapsulate IP,Best Current Practice,xml,rfcs\xml\rfc9599.xml,Yes
,9542,IANA Considerations and IETF Protocol and Documentation Usage for IEEE 802 Parameters,Best Current Practice,html,rfcs\html\rfc9542.html,Yes
,9542,IANA Considerations and IETF Protocol and Documentation Usage for IEEE 802 Parameters,Best Current Practice,txt,rfcs\txt\rfc9542.txt,Yes
,9542,IANA Considerations and IETF Protocol and Documentation Usage for IEEE 802 Parameters,Best Current Practice,pdf,rfcs\pdf\rfc9542.pdf,Yes
,9542,IANA Considerations and IETF Protocol and Documentation Usage for IEEE 802 Parameters,Best Current Practice,xml,rfcs\xml\rfc9542.xml,Yes
,9501,Open Participation Principle regarding Remote Registration Fee,Best Current Practice,html,rfcs\html\rfc9501.html,Yes
,9501,Open Participation Principle regarding Remote Registration Fee,Best Current Practice,txt,rfcs\txt\rfc9501.txt,Yes
,9501,Open Participation Principle regarding Remote Registration Fee,Best Current Practice,pdf,rfcs\pdf\rfc9501.pdf,Yes
,9501,Open Participation Principle regarding Remote Registration Fee,Best Current Practice,xml,rfcs\xml\rfc9501.xml,Yes
,9499,DNS Terminology,Best Current Practice,html,rfcs\html\rfc9499.html,Yes
,9499,DNS Terminology,Best Current Practice,txt,rfcs\txt\rfc9499.txt,Yes
,9499,DNS Terminology,Best Current Practice,pdf,rfcs\pdf\rfc9499.pdf,Yes
,9499,DNS Terminology,Best Current Practice,xml,rfcs\xml\rfc9499.xml,Yes
,9455,Avoiding Route Origin Authorizations (ROAs) Containing Multiple IP Prefixes,Best Current Practice,html,rfcs\html\rfc9455.html,Yes
,9455,Avoiding Route Origin Authorizations (ROAs) Containing Multiple IP Prefixes,Best Current Practice,txt,rfcs\txt\rfc9455.txt,Yes
,9455,Avoiding Route Origin Authorizations (ROAs) Containing Multiple IP Prefixes,Best Current Practice,pdf,rfcs\pdf\rfc9455.pdf,Yes
,9455,Avoiding Route Origin Authorizations (ROAs) Containing Multiple IP Prefixes,Best Current Practice,xml,rfcs\xml\rfc9455.xml,Yes
,9416,Security Considerations for Transient Numeric Identifiers Employed in Network Protocols,Best Current Practice,html,rfcs\html\rfc9416.html,Yes
,9416,Security Considerations for Transient Numeric Identifiers Employed in Network Protocols,Best Current Practice,txt,rfcs\txt\rfc9416.txt,Yes
,9416,Security Considerations for Transient Numeric Identifiers Employed in Network Protocols,Best Current Practice,pdf,rfcs\pdf\rfc9416.pdf,Yes
,9416,Security Considerations for Transient Numeric Identifiers Employed in Network Protocols,Best Current Practice,xml,rfcs\xml\rfc9416.xml,Yes
,9389,Nominating Committee Eligibility,Best Current Practice,html,rfcs\html\rfc9389.html,Yes
,9389,Nominating Committee Eligibility,Best Current Practice,txt,rfcs\txt\rfc9389.txt,Yes
,9389,Nominating Committee Eligibility,Best Current Practice,pdf,rfcs\pdf\rfc9389.pdf,Yes
,9389,Nominating Committee Eligibility,Best Current Practice,xml,rfcs\xml\rfc9389.xml,Yes
,9364,DNS Security Extensions (DNSSEC),Best Current Practice,html,rfcs\html\rfc9364.html,Yes
,9364,DNS Security Extensions (DNSSEC),Best Current Practice,txt,rfcs\txt\rfc9364.txt,Yes
,9364,DNS Security Extensions (DNSSEC),Best Current Practice,pdf,rfcs\pdf\rfc9364.pdf,Yes
,9364,DNS Security Extensions (DNSSEC),Best Current Practice,xml,rfcs\xml\rfc9364.xml,Yes
,9325,Recommendations for Secure Use of Transport Layer Security (TLS) and Datagram Transport Layer Security (DTLS),Best Current Practice,html,rfcs\html\rfc9325.html,Yes
,9325,Recommendations for Secure Use of Transport Layer Security (TLS) and Datagram Transport Layer Security (DTLS),Best Current Practice,txt,rfcs\txt\rfc9325.txt,Yes
,9325,Recommendations for Secure Use of Transport Layer Security (TLS) and Datagram Transport Layer Security (DTLS),Best Current Practice,pdf,rfcs\pdf\rfc9325.pdf,Yes
,9325,Recommendations for Secure Use of Transport Layer Security (TLS) and Datagram Transport Layer Security (DTLS),Best Current Practice,xml,rfcs\xml\rfc9325.xml,Yes
,9319,The Use of maxLength in the Resource Public Key Infrastructure (RPKI),Best Current Practice,html,rfcs\html\rfc9319.html,Yes
,9319,The Use of maxLength in the Resource Public Key Infrastructure (RPKI),Best Current Practice,txt,rfcs\txt\rfc9319.txt,Yes
,9319,The Use of maxLength in the Resource Public Key Infrastructure (RPKI),Best Current Practice,pdf,rfcs\pdf\rfc9319.pdf,Yes
,9319,The Use of maxLength in the Resource Public Key Infrastructure (RPKI),Best Current Practice,xml,rfcs\xml\rfc9319.xml,Yes
,9283,IAB Charter Update for RFC Editor Model,Best Current Practice,html,rfcs\html\rfc9283.html,Yes
,9283,IAB Charter Update for RFC Editor Model,Best Current Practice,txt,rfcs\txt\rfc9283.txt,Yes
,9283,IAB Charter Update for RFC Editor Model,Best Current Practice,pdf,rfcs\pdf\rfc9283.pdf,Yes
,9283,IAB Charter Update for RFC Editor Model,Best Current Practice,xml,rfcs\xml\rfc9283.xml,Yes
,9282,Responsibility Change for the RFC Series,Best Current Practice,html,rfcs\html\rfc9282.html,Yes
,9282,Responsibility Change for the RFC Series,Best Current Practice,txt,rfcs\txt\rfc9282.txt,Yes
,9282,Responsibility Change for the RFC Series,Best Current Practice,pdf,rfcs\pdf\rfc9282.pdf,Yes
,9282,Responsibility Change for the RFC Series,Best Current Practice,xml,rfcs\xml\rfc9282.xml,Yes
